Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
9700BLK-3AZ,IN,TBDS,"SOFA, DUAL RCLNR, BLK, AMZ",HMLG,279.00(Promotional Price),3,,,CPZY,181.72,36.2,1,XS-45
9700BLK-3PW,DS,,POWER DOUBLE RECLINING SOFA,HMLG,379.00(Promotional Price),0,,,CPZY,193.82,36.23,1,XS-45
9700BLK-C,DS,,CORNER SEAT,HMLG,175.00(Promotional Price),0,,,CPZY,72.38,30.67,1,XS-22
9700BRW-1,IN,,RECLINER CHAIR,HMLG,179.00(Promotional Price),31,10 04/03/2018,"2 04/04/2018
12 06/13/2018",CPZY,88,15.55,1,S-59
9700BRW-1AZ,DS,,"CHAIR, RCLNER, BRW, AMZ",HMLG,179.00(Promotional Price),0,,,CPZY,84.7,15.6,1,XS-46
9700BRW-1PW,IN,TBDS,POWER RECLINING CHAIR,HMLG,229.00(Promotional Price),8,,,CPZY,95.26,15.55,1,XS-46
9700BRW-2,IN,,DOUBLE RECLINING LOVE SEAT,HMLG,259.00(Promotional Price),76,34 04/03/2018,"2 04/04/2018
46 06/13/2018",CPZY,143.66,26.51,1,S-59
9700BRW-2AZ,DS,,"LS, DUAL RCLNR, BLK, AMZ",HMLG,259.00(Promotional Price),0,,,CPZY,116.6,32.7,1,XS-46
9700BRW-2PW,IN,TBDS,POWER DOUBLE RECLINING LOVE SEAT,HMLG,359.00(Promotional Price),2,,,CPZY,162.36,26.51,1,XS-46
9700BRW-3,IN,,DOUBLE RECLINING SOFA,HMLG,279.00(Promotional Price),99,34 04/03/2018,"2 04/04/2018
86 06/13/2018",CPZY,181.72,36.23,1,S-59
9700BRW-3AZ,DS,,"SOFA, DUAL RCLNR, BLK, AMZ",HMLG,279.00(Promotional Price),0,,,CPZY,149.6,36.2,1,XS-46
9700BRW-3PW,IN,TBDS,POWER DOUBLE RECLINING SOFA,HMLG,379.00(Promotional Price),1,,,CPZY,193.82,36.23,1,XS-46
9700BRW-C,DS,,CORNER SEAT,HMLG,175.00(Promotional Price),0,,,CPZY,77,30.67,1,XS-22
9700CH-1,DS,,"RCLNR CHR, CHOCOLATE FABRIC",HMLG,179.00(Promotional Price),0,,,CPZY,0,18,1,
9700CH-1PW,DS,,"POWER RCLNR, CHOCOLATE FABRIC",HMLG,229.00(Promotional Price),0,,,CPZY,0,18,1,
9700CH-2,DS,,D. RCLN LOVE SEAT,HMLG,259.00(Promotional Price),0,,,CPZY,0,27,1,
9700CH-2PW,DS,,POWER D. RCLN LOVE SEAT,HMLG,359.00(Promotional Price),0,,,CPZY,0,27,1,
9700CH-3,DS,,DOUBLE RECLINING SOFA,HMLG,279.00(Promotional Price),0,,,CPZY,0,38,1,
9700CH-3PW,DS,,POWER DOUBLE RECLINING SOFA,HMLG,379.00(Promotional Price),0,,,CPZY,0,38,1,
9700FCP-1,IN,,RECLINER CHAIR,HMLG,179.00(Promotional Price),3,10 04/10/2018,26 06/13/2018,CPZY,84.7,15.55,1,S-58
9700FCP-1PW,DS,,POWER RECLINING CHAIR,HMLG,229.00(Promotional Price),0,,,CPZY,95.26,15.55,1,XS-47
9700FCP-2,IN,,DOUBLE RECLINING LOVE SEAT,HMLG,259.00(Promotional Price),111,29 04/10/2018,66 06/13/2018,CPZY,143.66,26.51,1,S-58
9700FCP-2AZ,DS,,"DOUBLE RECLINING LOVE SEAT, AMZ",HMLG,259.00(Promotional Price),0,,,CPZY,150.26,32.7,1,XS-47
9700FCP-2PW,DS,,POWER DOUBLE RECLINING LOVE SEAT,HMLG,359.00(Promotional Price),0,,,CPZY,162.36,26.51,1,XS-47
9700FCP-3,IN,,DOUBLE RECLINING SOFA,HMLG,279.00(Promotional Price),122,40 04/10/2018,50 06/13/2018,CPZY,181.72,36.23,1,S-58
9700FCP-3AZ,IN,TBDS,"DOUBLE RECLINING SOFA, AMZ",HMLG,279.00(Promotional Price),5,,,CPZY,186.12,36.2,1,XS-47
9700FCP-3PW,IN,TBDS,POWER DOUBLE RECLINING SOFA,HMLG,379.00(Promotional Price),2,,,CPZY,193.82,36.23,1,XS-47
9700FCP-C,DS,,CORNER SEAT,HMLG,175.00(Promotional Price),0,,,CPZY,72.38,30.67,1,XS-22
9700GY-1,DS,,"RCLNR CHR, GREY FABRIC",HMLG,179.00(Promotional Price),0,,,CPZY,0,18,1,
9700GY-1PW,DS,,"POWER RCLNR, GREY FABRIC",HMLG,229.00(Promotional Price),0,,,CPZY,0,18,1,
9700GY-2,DS,,D. RCLN LOVE SEAT,HMLG,259.00(Promotional Price),0,,,CPZY,0,27,1,
9700GY-2PW,DS,,POWER D. RCLN LOVE SEAT,HMLG,359.00(Promotional Price),0,,,CPZY,0,27,1,
9700GY-3,DS,,DOUBLE RECLINING SOFA,HMLG,279.00(Promotional Price),0,,,CPZY,0,38,1,
9700GY-3PW,DS,,POWER DOUBLE RECLINING SOFA,HMLG,379.00(Promotional Price),0,,,CPZY,0,38,1,
9701BLK-1,IN,,CHAIR,HMLG,95.00(Promotional Price),9,8 04/06/2018,,CGGI,61.6,11.9,1,S-110
9701BLK-2,IN,,LOVE SEAT,HMLG,125.00(Promotional Price),125,,,CGGI,81.4,17.5,1,S-110
9701BLK-3,IN,,SOFA,HMLG,150.00(Promotional Price),21,95 04/06/2018,,CGGI,103.4,23.8,1,S-110
9705BLK-1,DS,,"CHAIR, GLIDER RCLNR, BNDED LTHR",HMLG,,0,,,CPJP,99,14.4,1,
9705BLK-2,DS,,"LS, D.RCLNR, BONDED LTHR MATCH",HMLG,,0,,,CPJP,167.2,24.4,1,
9705BLK-3,DS,,"SOFA, D.RCLNR, BNDED LTHR MATCH",HMLG,,0,,,CPJP,193.6,33.3,1,
9705BRW-1,DS,,"CHAIR, GLIDER RCLNR, BNDED LTHRe5",HMLG,,0,,,CPJP,99,14.4,1,
9705BRW-3,DS,,"SOFA, D.RCLNR, BNDED LTHR MATCH",HMLG,,0,,,CPJP,193.6,33.3,1,
9705PM-2,DS,,"LS, D.RCLNR, BURGUNDY P. MCRFBRr10",HMLG,,0,,,CPJP,158.4,24.4,1,
9706-1,DS,,"CHAIR, MCRFBR + P/U",HMLG,,0,,,CGTO,64.52,17,1,
9706-3,DS,,"SOFA, MCRFBR + P/U, 2 PILLOWS",HMLG,,0,,,CGTO,110,33,1,
9707CF-1,DS,,"CHAIR, RECLINER, COFFEE MCRFBR e5",HMLG,,0,,,CGTO,99,15.6,1,
9707CF-2,DS,,"LOVE SEAT, DUAL RCLNR,COFE MCFB",HMLG,,0,,,CGTO,138.6,25.1,1,
9707CF-3,DS,,"SOFA, DUAL RCLNR, COFFEE MCRFBRe5",HMLG,,0,,,CGTO,173.8,34.8,1,
9708BJ-1,DS,,"CHAIR, SWIVL RCKR RCLNR, PALOMAR5",HMLG,229.00(Unit Price),0,,,CGCJ,118.8,24.7,1,
9708BJ-2,DS,,"LS, GLIDER RCLNR, PALOMINO MCFB",HMLG,359.00(Unit Price),0,,,CGCJ,187,38.9,1,
9708BJ-3,DS,,"SOFA, DUAL RECLINER, PALOMINO",HMLG,369.00(Unit Price),0,,,CGCJ,223.3,55.4,1,
9708CN-1,DS,,"CHAIR, SWIVL RCKR RCLNR, CHENILR12",HMLG,,0,,,CGCJ,118.81,24.7,1,
9708CN-2,DS,,"LS, GLIDER RECLINER, CHENILLE  R12",HMLG,175.00(Unit Price),0,,,CGCJ,187,38.9,1,
9708CN-3,DS,,"SOFA, DUAL RECLINER, CHENILLE  R12",HMLG,,0,,,CGCJ,223.3,55.4,1,
9708NF-1,DS,,"CHAIR, SWVL RCKR RCLNR, POLYSTRL14",HMLG,,0,,,CGCJ,118.8,24.7,1,
9708NF-2,DS,,"LS, GLDER RCLNR, 100% POLYESTER",HMLG,,0,,,CGCJ,187,38.9,1,
9708NF-3,DS,,"SOFA, D.RCLNR, 100% POLYESTER  L14",HMLG,,0,,,CGCJ,223.3,55.4,1,
9709CN-AC,IN,TBDS,ARMLESS CHAIR,HMLG,25.00(Promotional Price),0,,,CGKY,24.2,16.9,1,XS-129
9709CN-CR,DS,TBDS,CORNER,HMLG,129.00(Promotional Price),0,,,CGKY,46.2,21.2,1,XS-129
9709CN-OT,DS,TBDS,OTTOMAN,HMLG,60.00(Promotional Price),0,,,CGKY,35.2,9.7,1,XS-129
9709FC-AC,DS,,"ARMLESS CHAIR, 100% POLYESTER  e5",HMLG,105.00(Unit Price),0,,,CGZH,24.2,16.9,1,
9709FC-CR,DS,,"CORNER W/1PC PILLOW, POLYESTER e5",HMLG,140.00(Unit Price),0,,,CGZH,57.2,21.2,1,
9709FC-OT,DS,,"OTTOMAN, 100% POLYESTER        e5",HMLG,65.00(Unit Price),0,,,CGZH,28.6,9.7,1,
9711-1,DS,,"CHAIR, RCKR RCLNR, D.BRW MCFB  E14",HMLG,,0,,,CGHG,91.5,16.1,1,
9711-2,DS,,"LOVE SEAT, D.RCLNR, D.BRW MCFB",HMLG,,0,,,CGHG,147.07,27.1,1,
9711-3,DS,,"SOFA, D.RCLNR, D.BRW MCFB",HMLG,,0,,,CGHG,171.38,36.7,1,
9712BE-3,DS,,"SOFA, RCLNR, BEIGE CHENILLE    T4",HMLG,,0,,,CGHG,200.1,42.3,1,
9712DB-1,DS,,"CHAIR, RCLNR, D. BRWN CHENILLE",HMLG,,0,,,CGHG,93.83,19.2,1,
9712DB-2,DS,,"LOVE SEAT, RCLNR, D. BRW CHNILE",HMLG,,0,,,CGHG,158.4,31.3,1,
9712DB-3,DS,,"SOFA, RCLNR, D. BRWN CHENILLE  T4",HMLG,,0,,,CGHG,200,42.3,1,
9713NF-1,DS,,"GLDR RCLNR CHAIR, 100% POLYESTER R12",HMLG,219.00(Unit Price),0,,,CGHG,93.48,20.9,1,
9713NF-2,DS,,"LS, DUAL RCLNR, CAMEL 100% POLYR12",HMLG,349.00(Unit Price),0,,,CGHG,161.82,34,1,
9713NF-3,DS,,"SOFA, DUAL RCLNR, 100% POLYESTRR12",HMLG,369.00(Unit Price),0,,,CGHG,190.7,45.6,1,
9713PM-1,DS,,"CHAIR, RCLNR, POLISHED MCRFBR  r5",HMLG,,0,,,CGHG,93.28,20.9,1,
9713PM-2,DS,,"LS, DOUBLE RCLNR, POLISHED MCFB",HMLG,,0,,,CGHG,161.48,34,1,
9713PM-3,DS,,"SOFA, DOUBLE RCLNR, POLSHD MCFBr5",HMLG,,0,,,CGHG,190.3,45.7,1,
9714-1,DS,,"CHAIR, RCLNR, BRW T.PLUSH MCFB",HMLG,,0,,,CGHG,86.46,21.6,1,
9714-2,DS,,"LS, D.RCLNR, BRW T.PLUSH MCFB",HMLG,,0,,,CGHG,151.8,34.7,1,
9714-3,DS,,"SOFA, D.RCLNR, BRW T.PLUSH MCFB",HMLG,,0,,,CGHG,192.28,43.2,1,
9715BR-1,DS,,"CHAIR, BROWN CHENILLE",HMLG,,0,,,CGEN,55,10.4,1,
9715BR-2,DS,,"LOVE SEAT, BROWN CHENILLE",HMLG,,0,,,CGEN,70.4,16.9,1,
9715BR-3,DS,,"SOFA, BROWN CHENILLE           R12",HMLG,,0,,,CGEN,90.2,22.9,1,
9715CH-1,DS,,"CHAIR, CHOCOLATE CHENILLE",HMLG,,0,,,CGEN,55,10.4,1,
9715CH-2,DS,,"LOVE SEAT, CHOCOLATE CHENILLE  L14",HMLG,,0,,,CGEN,70.4,16.9,1,
9715CH-3,DS,,"SOFA, CHOCOLATE CHENILLE",HMLG,,0,,,CGEN,90.2,22.9,1,
9715PU-1,IN,TBDS,CHAIR,HMLG,105.00(Promotional Price),33,,17 04/18/2018,CGKY,68.2,10.4,1,S-109
9715PU-2,IN,TBDS,LOVE SEAT,HMLG,155.00(Promotional Price),0,,"90 04/11/2018
51 04/18/2018
80 05/16/2018",CGKY,88,18.22,1,S-109
9715PU-3,IN,TBDS,SOFA,HMLG,175.00(Promotional Price),41,,"30 04/11/2018
51 04/18/2018
40 05/16/2018",CGKY,112.2,24.56,1,S-109
9716-1,DS,,"CHAIR, RECLINER, BEIGE CHENILLE",HMLG,,0,,,CGEN,77,15.8,1,
9716-2,DS,,"LS, D.RCLNR, CONSOLE, BGE CHNL L5",HMLG,,0,,,CGEN,165,31.1,1,
9716-3,DS,,"SOFA, D.RCLNR, C.HLDER, BG CHNL",HMLG,,0,,,CGEN,169.4,35.7,1,
9716-C,DS,,"CORNER, BEIGE CHENILLE         L5",HMLG,,0,,,CGEN,77,33.7,1,
9716DB-1,DS,,"CHAIR. RECLINER, D.BRW CHENILLEL14",HMLG,,0,,,CGEN,77,15.8,1,
9716DB-2,DS,,"LS, DUAL RCLNR, CONSOLE,BRW CHNL14",HMLG,,0,,,CGEN,165,31.1,1,
9716DB-3,DS,,"SOFA, D.RCLNR, C.HLDER,BRW CHNLL14",HMLG,,0,,,CGEN,169.4,35.7,1,
9716DB-C,DS,,"CORNER, D.BRW CHENILLE         L14",HMLG,,0,,,CGEN,77,33.7,1,
9717-1,DS,,"CHAIR, GLIDER RCLNR,BR CORDUROYL14",HMLG,239.00(Unit Price),0,,,CGOP,94.6,23.5,1,
9717-2,DS,,"LS, DUAL RCLNR, BROWN CORDUROY L14",HMLG,299.00(Unit Price),0,,,CGOP,149.6,37,1,
9717-3,DS,,"SOFA, DUAL RCLNR, BRW CORDUROY L14",HMLG,319.00(Unit Price),0,,,CGOP,195.8,47,1,
9718BLK-1,DS,,"CHAIR, BLACK BONDED LTHR       R11",HMLG,,0,,,CGOP,105.6,22,1,
9718BLK-2,DS,,"LOVE SEAT, BLACK BONDED LTHR   R11",HMLG,,0,,,CGOP,149.6,31.6,1,
9718BLK-3,DS,,"SOFA, BLACK BONDED LTHR        R11",HMLG,,0,,,CGOP,195.8,54.8,1,
9718BRW-2,DS,,"LOVE SEAT, D.BRWN BONDED LTHR  r8",HMLG,,0,,,CGOP,149.6,31.6,1,
9718RED-2,DS,,"LOVE SEAT, RED BONDED LTHR     R11",HMLG,,0,,,CGOP,105.6,31.6,1,
9718RED-3,DS,,"SOFA, RED BONDED LTHR          R11",HMLG,,0,,,CGOP,129.8,54.8,1,
9722-1PW,DS,,"PWR RCLNR CHAIR, 100% POLYESTERR10",HMLG,309.00(Unit Price),0,,,CGOP,105.6,25.5,1,
9722-2PW,DS,,"PWR D.RCLNR LS, 100% POLYESTER",HMLG,449.00(Unit Price),0,,,CGOP,149.6,39,1,
9722-3PW,DS,,"PWR D.RCLNR SOFA, 100% POLYESTR",HMLG,469.00(Unit Price),0,,,CGOP,195.8,52,1,
9723-1,IN,,GLIDER RECLINING CHAIR,HMLG,235.00(Promotional Price),0,,8 07/04/2018,CGOP,101.2,24.89,1,S-57
9723-1PW,DS,,POWER RECLINING CHAIR,HMLG,235.00(Promotional Price),0,,,CGOP,105.6,24.89,1,XXS-40
9723-2,IN,,DOUBLE RECLINING LOVE SEAT,HMLG,299.00(Promotional Price),27,,"27 05/02/2018
9 07/04/2018",CGOP,145.2,38.2,1,S-57
9723-2PW,DS,,POWER DOUBLE RECLINING LOVE SEAT,HMLG,340.00(Promotional Price),0,,,CGOP,149.6,38.2,1,XXS-40
9723-3,IN,,DOUBLE RECLINING SOFA,HMLG,319.00(Promotional Price),0,,"27 05/02/2018
36 07/04/2018",CGOP,191.4,47.4,1,S-57
9723-3PW,DS,,POWER DOUBLE RECLINING SOFA,HMLG,339.00(Promotional Price),0,,,CGOP,107.8,47.4,1,XXS-40
