Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
8327BLK-L, $ 138.88 , Net ,(1/3) LEFT SIDE 2-SEATER,92.40,25.04,S-135
8327BLK-R, $ 138.06 , Net ,(3/3) RIGHT SIDE 2-SEATER,92.40,25.04,S-135
8327BLK*SC, $ 399.00 , Net ,3PC SET: SECTIONAL,240.90,70.96,S-135
8327DBR-1, $ 135.00 , Net ,CHAIR,61.60,15.90,S-138
8327DBR-2, $ 195.00 , Net ,LOVE SEAT,101.20,26.50,S-138
8327DBR-3, $ 215.00 , Net ,SOFA,125.40,33.40,S-138
8327DBR-CR, $ 122.06 , Net ,(2/3) CORNER SEAT,56.10,20.88,S-137
8327DBR-L, $ 138.88 , Net ,(1/3) LEFT SIDE 2-SEATER,92.40,25.04,S-137
8327DBR-R, $ 138.06 , Net ,(3/3) RIGHT SIDE 2-SEATER,92.40,25.04,S-137
8327DBR*SC, $ 399.00 , Net ,3PC SET: SECTIONAL,240.90,70.96,S-137
8327GY-1, $ 135.00 , Net ,CHAIR,61.60,15.90,S-134
8327GY-1S, $ 155.00 , Net ,ACCENT CHAIR,51.70,11.13,S-130
8327GY-2, $ 195.00 , Net ,LOVE SEAT,101.20,26.50,S-134
8327GY-3, $ 215.00 , Net ,SOFA,125.40,33.40,S-134
8327GY-CR, $ 122.06 , Net ,(2/3) CORNER SEAT,56.10,20.88,S-133
8327GY-L, $ 138.88 , Net ,(1/3) LEFT SIDE 2-SEATER,92.40,25.04,S-133
8327GY-R, $ 138.06 , Net ,(3/3) RIGHT SIDE 2-SEATER,92.40,25.04,S-133
8327GY*SC, $ 399.00 , Net ,3PC SET: SECTIONAL,240.90,70.96,S-133
8327TL-1, $ 135.00 , Net ,CHAIR,61.60,15.90,S-132
8327TL-1S, $ 155.00 , Net ,ACCENT CHAIR,51.70,11.13,S-132
8327TL-2, $ 195.00 , Net ,LOVE SEAT,101.20,26.50,S-132
8327TL-3, $ 215.00 , Net ,SOFA,125.40,33.40,S-132
8327TL-CR, $ 122.06 , Net ,(2/3) CORNER SEAT,56.10,20.88,S-131
8327TL-L, $ 138.88 , Net ,(1/3) LEFT SIDE 2-SEATER,92.40,25.04,S-131
8327TL-R, $ 138.06 , Net ,(3/3) RIGHT SIDE 2-SEATER,92.40,25.04,S-131
8327TL*SC, $ 399.00 , Net ,3PC SET: SECTIONAL,240.90,70.96,S-131
8329BLK-1, $ 149.00 , Net ,RECLINING CHAIR,99.00,14.70,S-61
8329BLK-2, $ 219.00 , Net ,DOUBLE RECLINING LOVE SEAT,180.40,25.00,S-61
8329BLK-3, $ 239.00 , Net ,DOUBLE RECLINING SOFA,202.40,34.60,S-61
8329BRW-1, $ 149.00 , Net ,RECLINING CHAIR,99.00,14.70,S-62
