Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
1131-24S, $ 67.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.78,2.61,D-194
1131-29S, $ 71.00 ,,SWIVEL PUB CHAIR,27.52,2.61,D-194
1133-24S, $ 71.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.45,2.82,D-194
1133-29S, $ 77.00 ,,SWIVEL PUB CHAIR,26.78,2.82,D-194
1140E-24S, $ 61.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.62,2.61,D-194
1140E-29S, $ 67.00 ,,SWIVEL PUB CHAIR,27.34,2.61,D-194
1144E-24S, $ 61.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.62,2.61,D-194
1144E-29S, $ 67.00 ,,SWIVEL PUB CHAIR,27.34,2.61,D-194
1147BLK, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",16.83,2.59,D-192
1147RED, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, RED",16.83,2.59,D-192
1147WHT, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",16.83,2.59,D-192
1148BLK, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",16.28,1.99,D-193
1148RED, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, RED",16.28,1.99,D-193
1148WHT, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",16.28,1.99,D-193
1149BLK, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",22.55,2.17,D-193
1149RED, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, RED",22.55,2.17,D-193
1149WHT, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",22.55,2.17,D-193
1156BLK, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",23.10,1.99,D-192
1156RED, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, RED",23.10,1.99,D-192
1156WHT, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",23.10,1.99,D-192
1157BRW, $ 41.00 ,,"AIRLIFT SWIVEL STOOL, BROWN",20.79,2.22,D-191
1157RED, $ 41.00 ,,"AIRLIFT SWIVEL STOOL, RED",20.79,2.22,D-191
1178BLK, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",24.00,2.43,D-191
1178RED, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, RED",24.00,2.43,D-191
1178WHT, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",24.00,2.43,D-191
1188BK-24, $ 30.00 ,,"COUNTER HEIGHT STOOL, BLACK",10.45,1.03,D-190
1188DB-24, $ 30.00 ,,"COUNTER HEIGHT STOOL, DARK BROWN",10.45,1.03,D-190
1188RD-24, $ 30.00 ,,"COUNTER HEIGHT STOOL, RED",10.45,1.03,D-190
1191F1S, $ 67.00 ,,"ACCENT CHAIR, STRIPE",24.86,5.36,S-214
1191F2S, $ 67.00 ,,"ACCENT CHAIR, SWIRL",24.86,5.36,S-214
1191F3S, $ 71.00 ,,"ACCENT CHAIR, VOYAGE",24.86,5.36,S-213
1191F4S, $ 71.00 ,,"ACCENT CHAIR, PURPLE MEDALLION",24.86,5.36,S-213
1191F5S, $ 71.00 ,,"ACCENT CHAIR, POPPIES",24.86,5.36,S-214
1191F6S, $ 71.00 ,,"ACCENT CHAIR, MEDALLION",24.86,5.36,S-213
1192BE, $ 89.00 ,,"ACCENT CHAIR, BEIGE ",40.48,12.27,S-209
1192BL, $ 89.00 ,,"ACCENT CHAIR, BLUE ",40.48,12.27,S-209
1192GY, $ 89.00 ,,"ACCENT CHAIR, GRAY ",40.48,12.27,S-209
1192RN, $ 89.00 ,,"ACCENT CHAIR, ORANGE ",40.48,12.27,S-209
1193F1S, $ 133.00 ,,"ACCENT CHAIR, OATMEAL",40.23,12.04,S-205
1193F2S, $ 133.00 ,,"ACCENT CHAIR, FRENCH NOTE",46.20,12.04,S-205
1193F5S, $ 133.00 ,,"ACCENT CHAIR, BLUE",46.20,12.04,S-204
1193F6S, $ 133.00 ,,"ACCENT CHAIR, CHAIN LINK",46.20,12.04,S-204
1193F7S, $ 133.00 ,,"ACCENT CHAIR, PAISLEY",46.20,12.04,S-204
1194CH, $ 99.00 ,,"ACCENT CHAIR, CHOCOLATE",46.86,10.18,S-203
1194IN, $ 99.00 ,,"ACCENT CHAIR, INDIGO",46.86,10.18,S-203
1194TL, $ 99.00 ,,"ACCENT CHAIR, TEAL",46.86,10.18,S-203
1194TP, $ 99.00 ,,"ACCENT CHAIR, TAUPE",46.86,10.18,S-203
1200BLK, $ 149.00 ,,"SWIVEL CHAIR, BLACK PU",63.80,18.65,S-194
1200BRW, $ 149.00 ,,"SWIVEL CHAIR, BROWN PU",63.80,18.65,S-194
1212F1S, $ 133.00 ,,"ACCENT CHAIR, OATMEAL",41.58,11.26,S-206
1212F2S, $ 133.00 ,,"ACCENT CHAIR, FRENCH NOTE",41.58,11.20,S-206
1218DG-1, $ 119.00 , Net ,ACCENT CHAIR,50.16,16.79,S-128
1218DG-2, $ 169.00 , Net ,LOVE SEAT,70.18,21.89,S-128
1218DG-3, $ 189.00 , Net ,SOFA ,98.34,31.43,S-128
1218F1S, $ 119.00 , Net ,ACCENT CHAIR,50.16,16.79,S-126
1218F1S-2, $ 169.00 , Net ,LOVE SEAT,70.18,21.89,S-126
1218F1S-3, $ 189.00 , Net ,SOFA ,98.34,31.43,S-126
1218RN-1, $ 119.00 , Net ,ACCENT CHAIR,50.16,16.79,S-127
1218RN-2, $ 169.00 , Net ,LOVE SEAT,70.18,21.89,S-127
1218RN-3, $ 189.00 , Net ,SOFA ,98.34,31.43,S-127
1218TL-1, $ 119.00 , Net ,ACCENT CHAIR,50.16,16.79,S-125
1218TL-2, $ 169.00 , Net ,LOVE SEAT,70.18,21.89,S-125
1218TL-3, $ 189.00 , Net ,SOFA ,98.34,31.43,S-125
1219BU-1, $ 109.00 ,,"ACCENT CHAIR, BLUE",54.34,16.83,S-199
1219CH-1, $ 109.00 ,,"ACCENT CHAIR, CHOCOLATE",54.34,16.83,S-199
1219GY-1, $ 109.00 ,,"ACCENT CHAIR, GRAY",54.34,16.83,S-199
1220F1S, $ 119.00 ,,"ACCENT CHAIR, GRAY",46.20,14.01,S-210
1220F2S, $ 119.00 ,,"ACCENT CHAIR, RED",46.20,14.01,S-210
1220F3S, $ 119.00 ,,"ACCENT CHAIR, TEAL",46.20,14.01,S-210
1221-1, $ 149.00 ,,SWIVEL CHAIR,64.90,17.40,S-193
1224F1S, $ 89.00 ,,ACCENT CHAIR,44.00,7.97,S-200
1224F2S, $ 89.00 ,,ACCENT CHAIR,44.00,7.97,S-200
1224F4S, $ 89.00 ,,ACCENT CHAIR,44.00,7.97,S-200
1225-1, $ 149.00 ,,SWIVEL CHAIR,63.80,17.40,S-193
1234-1, $ 289.00 ,,"ACCENT CHAIR, SHOW-WOOD",48.64,19.20,S-195
1234-4, $ 145.00 ,,"OTTOMAN, SHOW-WOOD",28.60,9.01,S-195
1242-1, $ 199.00 ,,ACCENT CHAIR,49.50,20.60,S-196
1255F1S, $ 80.00 ,,"ACCENT CHAIR, K/D, SOLD AS 2PC SET ONLY",18.15,3.66,S-212
1266F1S, $ 179.00 ,,ACCENT CHAIR,55.44,21.50,S-211
1267GY, $ 139.00 ,,"SWIVEL CHAIR WITH OTTOMAN, GRAY",62.92,14.06,S-195
1277F1S, $ 119.00 ,,"ACCENT CHAIR, BLUE",51.70,14.00,S-207
1277F2S, $ 119.00 ,,"ACCENT CHAIR, GRAY",51.70,14.00,S-207
1279F2S, $ 109.00 ,,"ACCENT CHAIR, DARK GRAY FABRIC",46.20,12.72,S-207
1279F3S, $ 109.00 ,,"ACCENT CHAIR, BEIGE FABRIC",46.20,12.72,S-207
1282GY-1, $ 139.00 ,,ACCENT CHAIR,45.10,10.12,S-197
1288-301, $ 154.00 ,,COCKTAIL TABLE,63.64,9.39,T-47
1288-305, $ 123.00 ,,END TABLE,45.52,6.55,T-47
1288-307, $ 154.00 ,,SOFA TABLE,59.67,7.82,T-47
1292-1, $ 119.00 ,,ACCENT CHAIR,29.04,6.53,S-196
1294BR-1, $ 129.00 ,,ACCENT CHAIR,52.80,14.94,S-198
1294GY-1, $ 129.00 ,,ACCENT CHAIR,52.80,14.94,S-198
1296F1S, $ 139.00 ,,ACCENT CHAIR WITH KIDNEY PILLOW， CHARCOAL,50.60,18.11,S-208
1296F2S, $ 139.00 ,,"ACCENT CHAIR WITH KIDNEY PILLOW, TEAL",50.60,18.11,S-208
1297BU-1, $ 115.00 ,,ACCENT CHAIR,49.28,13.84,S-202
1297GY-1, $ 115.00 ,,ACCENT CHAIR,49.28,13.84,S-202
1349K-1CK*, $ 285.00 ,,(3) CAL KING BED,84.90,18.20,B-77
1349K-1EK*, $ 285.00 ,,(3) EASTERN KING BED ,140.80,18.90,B-77
1349-1*, $ 199.00 ,,(3) QUEEN BED,133.93,16.10,B-77
1349F-1*, $ 199.00 ,,(3) FULL BED,119.54,14.60,Y-12
1349T-1*, $ 179.00 ,,(3) TWIN BED,95.19,11.10,Y-12
1349-4, $ 103.00 ,,NIGHT STAND,48.70,9.36,B-77
1349-5, $ 239.00 ,,DRESSER,119.90,30.70,B-77
1349-6, $ 49.00 ,,MIRROR,29.70,3.04,B-77
1349-9, $ 185.00 ,,CHEST,95.70,24.80,B-77
1349-1*4, $ 590.00 ,,4PC SET (QB+NS+DR+MR),332.23,59.20,B-77
1349-1*5, $ 693.00 ,,5PC SET (QB+2NS+DR+MR),380.93,68.56,B-77
1349-1*9, $ 775.00 ,,5PC SET (QB+NS+DR+MR+CH),427.93,84.00,B-77
1349T-1*4, $ 570.00 ,,4PC SET (TB+NS+DR+MR),293.49,54.20,Y-12
1349T-1*5, $ 673.00 ,,5PC SET (TB+2NS+DR+MR),342.19,63.56,Y-12
1349T-1*9, $ 755.00 ,,5PC SET (TB+NS+DR+MR+CH),389.19,79.00,Y-12
1372-36, $ 209.00 ,,COUNTER HEIGHT TABLE,165.00,12.00,D-68
1372-24, $ 52.00 ,,COUNTER HEIGHT CHAIR,27.67,3.27,D-68
1372-78, $ 209.00 ,,DINING TABLE,152.90,11.60,D-67
1372S, $ 47.00 ,,SIDE CHAIR,24.35,2.87,D-67
1372-40, $ 309.00 ,,SERVER,144.10,28.00,D-67
1372-36*5, $ 417.00 ,,5PC SET (TABLE + 4 COUNTER HEIGHT CHAIRS),275.68,25.08,D-68
1372-78*5, $ 397.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),250.30,23.08,D-67
1385K-1CK*, $ 379.00 ,,(3) CAL KING BED,244.41,31.80,B-21
1385K-1EK*, $ 379.00 ,,(3) EASTERN KING BED,242.61,31.70,B-21
1385-1*, $ 289.00 ,,(3) QUEEN BED ,216.48,26.20,B-21
1385F-1*, $ 289.00 ,,(3) FULL BED,183.70,25.30,B-21
1385-4, $ 132.00 ,,NIGHT STAND,71.80,11.90,B-21
1385-5, $ 329.00 ,,DRESSER,197.10,36.90,B-21
1385-6, $ 84.00 ,,MIRROR,60.30,5.63,B-21
1385-9, $ 275.00 ,,CHEST,147.00,30.20,B-21
1385-1*4, $ 834.00 ,,4PC SET (QB+NS+DR+MR),545.68,80.63,B-21
1385-1*5, $ 966.00 ,,5PC SET (QB+2NS+DR+MR),617.48,92.53,B-21
1385-1*9," $ 1,109.00 ",,5PC SET (QB+NS+DR+MR+CH),692.68,110.83,B-21
1386D-1*, $ 225.00 ,,"(2) DAY BED, ECRU WHITE",134.26,17.50,Y-8
1386-1*, $ 299.00 ,,(3) QUEEN BED,134.20,20.10,Y-7
1386F-1*, $ 225.00 ,,(3) FULL BED,142.57,19.05,Y-7
1386T-1*, $ 175.00 ,,(3) TWIN BED,127.13,15.80,Y-7
1386FPP-1*, $ 329.00 ,,(4) FULL CANOPY POSTER BED,143.00,23.70,Y-9
1386TPP-1*, $ 289.00 ,,(4) TWIN CANOPY POSTER BED,123.20,19.20,Y-9
1386PP-R, $ 123.00 ,,TWIN TRUNDLE FOR CANOPY BED,68.20,7.30,Y-9
1386-4, $ 133.00 ,,NIGHT STAND,65.53,11.00,Y-7
1386-5, $ 277.00 ,,DRESSER,135.72,27.00,Y-7
1386-6, $ 75.00 ,,MIRROR,35.42,5.63,Y-7
1386-7, $ 288.00 ,,ARMOIRE,125.31,28.10,Y-8
1386-9, $ 225.00 ,,CHEST,116.45,23.50,Y-7
1386-10, $ 153.00 ,,WRITING DESK HUTCH,82.36,18.60,Y-8
1386-10*, $ 438.00 ,,(2) WRITING HUTCH/DESK SET,227.81,46.70,Y-8
1386-11, $ 285.00 ,,WRITING DESK,145.45,28.10,Y-8
1386-11C, $ 60.00 ,,WRITING DESK CHAIR (1PC/CTN),21.03,3.93,Y-8
1386-12, $ 225.00 ,,7-DRAWER TALL CHEST,109.37,19.40,Y-7
1386T-1*4, $ 660.00 ,,4PC SET (TB+NS+DR+MR),363.80,59.43,Y-7
1386T-1*5, $ 793.00 ,,5PC SET (TB+2NS+DR+MR),429.33,70.43,Y-7
1386T-1*9, $ 885.00 ,,5PC SET (TB+NS+DR+MR+CH),480.25,82.93,Y-7
1386TPP-1*4, $ 774.00 ,,4PC SET (TPP+NS+DR+MR),359.87,62.83,Y-9
1386TPP-1*5, $ 907.00 ,,5PC SET (TPP+2NS+DR+MR),425.40,73.83,Y-9
1386TPP-1*9, $ 999.00 ,,5PC SET (TPP+NS+DR+MR+CH),476.32,86.33,Y-9
1386NC-1*, $ 299.00 ,,(3) QUEEN BED,134.20,20.10,Y-10
1386TNC-1*, $ 175.00 ,,(3) TWIN BED,127.13,16.34,Y-10
1386FNC-1*, $ 225.00 ,,(3) FULL BED,142.57,18.00,Y-10
1386NC-4, $ 133.00 ,,NIGHT STAND,65.53,11.00,Y-10
1386NC-5, $ 277.00 ,,DRESSER,135.72,27.00,Y-10
1386NC-6, $ 75.00 ,,MIRROR,35.42,5.63,Y-10
1386NC-7, $ 288.00 ,,ARMOIRE,125.31,28.10,Y-10
1386NC-9, $ 225.00 ,,CHEST,116.45,23.50,Y-10
1386NC-10, $ 153.00 ,,WRITING DESK HUTCH,82.36,18.60,Y-10
1386NC-10*, $ 438.00 ,,(2) WRITING HUTCH/DESK SET,227.81,46.70,Y-10
1386NC-11, $ 285.00 ,,WRITING DESK,145.45,28.10,Y-10
1386NC-11C, $ 60.00 ,,WRITING DESK CHAIR (1PC/CTN),21.03,3.93,Y-10
1386TNC-1*4, $ 660.00 ,,4PC SET (TB+NS+DR+MR),363.80,59.97,Y-10
1386TNC-1*5, $ 793.00 ,,5PC SET (TB+2NS+DR+MR),429.33,70.97,Y-10
1386TNC-1*9, $ 885.00 ,,5PC SET (TB+NS+DR+MR+CH),480.25,83.47,Y-10
1393BK-36, $ 209.00 ,,"COUNTER HEIGHT TABLE, SOLID TOP, BTRFLY LEAF",127.60,12.50,D-86
1393BK-24, $ 47.00 ,,COUNTER HEIGHT CHAIR,22.14,2.60,D-86
1393BK-48*, $ 173.00 ,,"(2) ROUND DINING TABLE, SOLID WOOD TOP",85.23,7.77,D-86
1393BKS, $ 45.00 ,,SIDE CHAIR,21.58,2.47,D-86
1393BK-50, $ 269.00 ,,CURIO,121.77,33.10,D-86
1393BK-36*5, $ 397.00 ,,5PC SET (TABLE + 4 COUNTER HEIGHT CHAIRS),216.16,22.90,D-86
1393BK-48*5, $ 353.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),171.55,17.65,D-86
1394K-1CK*, $ 749.00 ,,"(3) CAL KING LEATHER BED, CHERRY FIN.",353.60,63.55,B-6
1394K-1EK*, $ 749.00 ,,(3) EASTERN KING LEATHER BED,391.87,66.10,B-6
1394-1*, $ 649.00 ,,(3) QUEEN LEATHER BED,328.77,55.15,B-6
1394-4, $ 259.00 ,,"NIGHT STAND, MARBLE TOP",125.09,17.20,B-6
1394-5, $ 519.00 ,,"DRESSER, MARBLE INSERT",283.39,46.80,B-6
1394-6, $ 113.00 ,,MIRROR,63.80,7.62,B-6
1394-9, $ 369.00 ,,"CHEST, MARBLE INSERT",232.47,38.80,B-6
1394-11, $ 359.00 ,,"TV CHEST, MARBLE TOP",197.04,30.90,B-6
1394-1*4," $ 1,540.00 ",,4PC SET (QB+NS+DR+MR),801.05,126.77,B-6
1394-1*5," $ 1,799.00 ",,5PC SET (QB+2NS+DR+MR),926.14,143.97,B-6
1394-1*9," $ 1,909.00 ",,5PC SET (QB+NS+DR+MR+CH),1033.52,165.57,B-6
1394KN-1CK*, $ 749.00 ,,(3) CAL KING BONDED LEATHER BED,353.60,63.55,B-5
1394KN-1EK*, $ 749.00 ,,(3) EASTERN KING BONDED LEATHER BED,391.87,66.10,B-5
1394N-1*, $ 649.00 ,,(3) QUEEN BONDED LEATHER BED,328.77,55.15,B-5
1394N-4, $ 269.00 ,,"NIGHT STAND, MARBLE TOP",125.09,17.20,B-5
1394N-5, $ 519.00 ,,"DRESSER, MARBLE INSERT",283.39,46.80,B-5
1394N-6, $ 113.00 ,,MIRROR,63.80,7.62,B-5
1394N-9, $ 399.00 ,,"CHEST, MARBLE INSERT",232.47,38.80,B-5
1394N-11, $ 379.00 ,,"TV CHEST, MARBLE TOP",197.04,30.90,B-5
1394N-1*4," $ 1,550.00 ",,4PC SET (QB+NS+DR+MR),801.05,126.77,B-5
1394N-1*5," $ 1,819.00 ",,5PC SET (QB+2NS+DR+MR),926.14,143.97,B-5
1394N-1*9," $ 1,949.00 ",,5PC SET (QB+NS+DR+MR+CH),1033.52,165.57,B-5
1402K-1CK*, $ 409.00 ,,(3) CAL KING PANEL BED,261.14,39.60,B-107
1402K-1EK*, $ 409.00 ,,(3) EASTERN KING PANEL BED,253.00,41.30,B-107
1402-1*, $ 309.00 ,,(3) QUEEN PANEL BED,224.30,34.30,B-107
1402LPK-1CK*, $ 459.00 ,,(3) CAL KING LOW PROFILE BED,239.80,48.90,B-106
1402LPK-1EK*, $ 459.00 ,,(3) EASTERN KING LOW PROFILE BED,250.80,50.40,B-106
1402LP-1*, $ 359.00 ,,(3) QUEEN LOW PROFILE BED,216.70,41.70,B-106
1402SLK-1CK*, $ 619.00 ,,(4) CAL KING SLEIGH PLATFORM BED W/RAIL STORAGE,391.60,81.90,B-105
1402SLK-1EK*, $ 619.00 ,,(4) EASTERN KING SLEIGH PLATFORM BED W/RAIL STORAGE,366.30,84.60,B-105
1402SL-1*, $ 519.00 ,,(4) QUEEN SLEIGH PLATFORM BED W/RAIL STORAGE,344.30,72.80,B-105
1402-4, $ 154.00 ,,NIGHT STAND,81.40,13.20,B-105
1402-5, $ 379.00 ,,DRESSER,211.20,40.00,B-105
1402-6RT, $ 73.00 ,,RECTANGULAR MIRROR (MATCH SLEIGH BED),52.80,7.00,B-105
1402-6SW, $ 93.00 ,,SWIVEL MIRROR (MATCH PANEL BED),48.40,7.00,B-107
1402-9, $ 289.00 ,,CHEST,170.50,32.30,B-105
1402-1*4SW, $ 935.00 ,,4PC SET (QB+NS+DR+MR:SW STYLE),565.30,94.50,B-107
1402-1*5SW," $ 1,089.00 ",,5PC SET (QB+2NS+DR+MR:SW STYLE),646.70,107.70,B-107
1402-1*9SW," $ 1,870.00 ",,5PC SET (QB+NS+DR+MR:SW STYLE +CH),1130.60,189.00,B-107
1402LP-1*4RT, $ 965.00 ,,4PC SET (QB+NS+DR+MR:RT STYLE),562.10,101.90,B-106
1402LP-1*5RT," $ 1,119.00 ",,5PC SET (QB+2NS+DR+MR:RT STYLE),643.50,115.10,B-106
1402LP-1*9RT," $ 1,254.00 ",,5PC SET (QB+NS+DR+MR:RT STYLE+CH),732.60,134.20,B-106
1402SL-1*4RT," $ 1,125.00 ",,4PC SET (QB+NS+DR+MR:RT STYLE),689.70,133.00,B-105
1402SL-1*5RT," $ 1,279.00 ",,5PC SET (QB+2NS+DR+MR:RT STYLE),771.10,146.20,B-105
1402SL-1*9RT," $ 1,414.00 ",,5PC SET (QB+NS+DR+MR:RT STYLE+CH),860.20,165.30,B-105
1600K-1CK*, $ 399.00 ,,(3) CAL KING PLATFORM BED,81.40,10.16,B-51
1600K-1EK*, $ 399.00 ,,(3) EASTERN KING PLATFORM BED,88.00,10.82,B-51
1600-1*, $ 299.00 ,,(3) QUEEN PLATFORM BED,68.20,8.58,B-51
1600-4, $ 119.00 ,,NIGHT STAND,61.60,7.50,B-51
1600-5, $ 349.00 ,,DRESSER,181.50,32.06,B-51
1600-6, $ 73.00 ,,"MIRROR, BEVEL",46.20,7.15,B-51
1600-9, $ 259.00 ,,CHEST,156.20,26.32,B-51
1600-1*4, $ 840.00 ,,4PC SET (QB+NS+DR+MR),357.50,55.29,B-51
1600-1*5, $ 959.00 ,,5PC SET (QB+2NS+DR+MR),419.10,62.79,B-51
1600-1*9," $ 1,099.00 ",,5PC SET (QB+NS+DR+MR+CH),513.70,81.61,B-51
1603K-1CK*, $ 599.00 ,,(3) CAL KING BED,363.00,47.20,B-1
1603K-1EK*, $ 599.00 ,,(3) EASTERN KING BED,363.00,48.84,B-1
1603-1*, $ 499.00 ,,(3) QUEEN BED,314.60,40.74,B-1
1603-4, $ 179.00 ,,NIGHT STAND,112.20,16.59,B-1
1603-5, $ 369.00 ,,DRESSER,246.40,41.00,B-1
1603-6, $ 102.00 ,,MIRROR,70.40,7.42,B-1
1603-9, $ 299.00 ,,CHEST,176.00,34.00,B-1
1603-1*4," $ 1,149.00 ",,4PC SET (QB+NS+DR+MR),743.60,105.75,B-1
1603-1*5," $ 1,328.00 ",,5PC SET (QB+2NS+DR+MR),855.80,122.34,B-1
1603-1*9," $ 1,448.00 ",,5PC SET (QB+NS+DR+MR+CH),919.60,139.75,B-1
1604K-1CK*, $ 299.00 ,,(3) CAL KING BED,63.80,11.10,B-59
1604K-1EK*, $ 299.00 ,,(3) EASTERN KING BED,63.80,11.10,B-59
1604-1*, $ 229.00 ,,(3) QUEEN BED,51.70,8.96,B-59
1604F-1*, $ 229.00 ,,(3)FULL BED,49.50,8.15,B-59
1604-4, $ 99.00 ,,NIGHT STAND,51.70,6.27,B-59
1604-5, $ 229.00 ,,DRESSER,143.00,24.22,B-59
1604-6, $ 42.00 ,,MIRROR,36.30,4.58,B-59
1604-9, $ 219.00 ,,CHEST,136.40,24.32,B-59
1604-1*4, $ 599.00 ,,4PC SET (QB+NS+DR+MR),282.70,44.03,B-59
1604-1*5, $ 698.00 ,,5PC SET (QB+2NS+DR+MR),334.40,50.30,B-59
1604-1*9, $ 818.00 ,,5PC SET (QB+NS+DR+MR+CH),419.10,68.36,B-59
1605K-1CK*, $ 449.00 ,,(3) CAL KING BED,185.00,28.00,B-25
1605K-1EK*, $ 449.00 ,,(3) EASTERN KING BED,177.10,26.24,B-25
1605-1*, $ 349.00 ,,(3) QUEEN BED,148.50,21.83,B-25
1605-4, $ 149.00 ,,NIGHT STAND W/POWER PLUG,62.70,12.59,B-25
1605-5, $ 289.00 ,,DRESSER,160.60,37.73,B-25
1605-6, $ 63.00 ,,MIRROR,37.40,5.52,B-25
1605-9, $ 249.00 ,,CHEST,138.60,31.63,B-25
1605-1*4, $ 850.00 ,,4PC SET (QB+NS+DR+MR),409.20,77.67,B-25
1605-1*5, $ 999.00 ,,5PC SET (QB+2NS+DR+MR),471.90,90.26,B-25
1605-1*9," $ 1,099.00 ",,5PC SET (QB+NS+DR+MR+CH),547.80,109.31,B-25
1606K-1CK*, $ 399.00 ,,(3) CAL KING PLATFORM BED W/FB STORAGE,283.80,54.16,B-26
1606K-1EK*, $ 399.00 ,,(3) EASTERN KING PLATFORM BED W/FB STORAGE,278.30,54.02,B-26
1606-1*, $ 299.00 ,,(3) QUEEN PLATFORM BED W/FB STORAGE,250.80,44.88,B-26
1606-4, $ 139.00 ,,NIGHT STAND W/HIDDEN DRAWER,70.40,10.00,B-26
1606-5, $ 269.00 ,,DRESSER W/HIDDEN DRAWER,182.60,31.45,B-26
1606-6, $ 72.00 ,,MIRROR W/BEVEL,48.40,7.61,B-26
1606-9, $ 219.00 ,,CHEST,162.80,27.73,B-26
1606-1*4, $ 779.00 ,,4PC SET (QB+NS+DR+MR),552.20,93.94,B-26
1606-1*5, $ 918.00 ,,5PC SET (QB+2NS+DR+MR),622.60,103.94,B-26
1606-1*9, $ 998.00 ,,5PC SET (QB+NS+DR+MR+CH),715.00,121.67,B-26
1704K-1CK*, $ 599.00 ,,(3) CAL KING BED,244.20,32.95,B-11
1704K-1EK*, $ 599.00 ,,(3) EASTERN KING BED,244.20,30.53,B-11
1704-1*, $ 499.00 ,,(3) QUEEN BED ,211.20,25.59,B-11
1704-4, $ 199.00 ,,NIGHT STAND,81.40,14.33,B-11
1704-5, $ 529.00 ,,DRESSER,220.00,45.21,B-11
1704-6, $ 122.00 ,,MIRROR,52.80,6.61,B-11
1704-9, $ 399.00 ,,CHEST,156.20,32.49,B-11
1704-11, $ 349.00 ,,TV CHEST,138.60,28.02,B-11
1704-1*4," $ 1,349.00 ",,4PC SET (QB+NS+DR+MR),565.40,91.75,B-11
1704-1*5," $ 1,548.00 ",,5PC SET (QB+2NS+DR+MR),646.80,106.08,B-11
1704-1*9," $ 1,748.00 ",,5PC SET (QB+NS+DR+MR+CH),721.60,124.24,B-11
1704-108, $ 449.00 ,,DINING TABLE,200.20,22.50,D-11
1704-60, $ 449.00 ,,ROUND DINING TABLE,176.00,20.47,D-12
1704A, $ 140.00 ,,ARM CHAIR,46.20,4.75,D-11
1704S, $ 125.00 ,,SIDE CHAIR,42.90,4.58,D-11
1704-50*," $ 1,099.00 ",,(2) BUFFET & HUTCH,468.60,90.01,D-11
1704-108*5, $ 949.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),371.80,40.82,D-11
1704-108*7," $ 1,229.00 ",,7PC SET (TABLE + 2 ARM CHAIRS + 4 SIDE CHAIRS),464.20,50.32,D-11
1704-60*5, $ 949.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),347.60,38.79,D-11
1706K-1CK*, $ 259.00 ,,(2) CAL KING BED,170.50,8.25,B-44
1706K-1EK*, $ 259.00 ,,(2) EASTERN KING BED,155.10,7.94,B-44
1706-1*, $ 199.00 ,,(2) QUEEN BED,137.50,6.71,B-44
1706F-1*, $ 199.00 ,,(2) FULL BED,137.50,7.47,B-44
1706KLED-1CK*, $ 299.00 ,,"(3) CAL KING BED, LED HEADBOARD",168.30,10.36,B-43
1706KLED-1EK*, $ 299.00 ,,"(3) EASTERN KING BED, LED HEADBOARD",152.90,10.05,B-43
1706LED-1*, $ 229.00 ,,"(3) QUEEN BED, LED HEADBOARD",136.40,8.40,B-43
1706FLED-1*, $ 229.00 ,,"(3) FULL BED, LED HEADBOARD",132.00,7.54,B-43
1706-4, $ 99.00 ,,NIGHT STAND,58.30,6.63,B-43
1706-5, $ 249.00 ,,DRESSER,189.20,28.84,B-43
1706-6, $ 52.00 ,,MIRROR,42.90,2.70,B-43
1706-9, $ 229.00 ,,CHEST,154.00,24.07,B-43
1706-1*4, $ 599.00 ,,4PC SET (QB+NS+DR+MR),427.90,44.88,B-43
1706-1*5, $ 698.00 ,,5PC SET (QB+2NS+DR+MR),486.20,51.51,B-43
1706-1*9, $ 828.00 ,,5PC SET (QB+NS+DR+MR+CH),581.90,68.95,B-43
1706LED-1*4, $ 629.00 ,,4PC SET (QB+NS+DR+MR),426.80,46.57,B-43
1706LED-1*5, $ 728.00 ,,5PC SET (QB+2NS+DR+MR),485.10,53.20,B-43
1706LED-1*9, $ 858.00 ,,5PC SET (QB+NS+DR+MR+CH),580.80,70.64,B-43
1707K-1CK*, $ 329.00 ,,(3) CAL KING BED,228.80,22.22,B-102
1707K-1EK*, $ 329.00 ,,(3) EASTERN KING BED,220.00,21.95,B-102
