Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S106003,SRSTE,1828K-2,(2/3) CK/EK FTBD,Closed,,HE199179,03/15/2019,Promotional Price,,UT,US United States,1,30.06,1,30.06,5.658
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S106003,SRSTE,1828K-3CK,(3/3) CK RL w/TOP CROWN & SL,Closed,,HE199179,03/15/2019,Promotional Price,,UT,US United States,1,29.06,1,29.06,4.960
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S106003,SRSTE,1828-5,DRESSER,Closed,,HE199179,03/15/2019,Promotional Price,,UT,US United States,1,165.00,1,165.00,40.500
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;AMZ02;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,1372-36,Counter Height Table,Closed,,HE200809,03/21/2019,Unit Price,,UT,US United States,1,209.00,1,209.00,12.000
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;AMZ02;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,1372-24,Counter Height Chair,Closed,,HE200809,03/21/2019,Unit Price,,UT,US United States,6,312.00,6,312.00,19.620
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,9907BR-2,"D. RCLNR LOVE SEAT, BROWN",Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,289.00,1,289.00,27.535
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,1148RED,AIRLIFT SWIVEL STOOL,Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,6,120.00,6,120.00,11.940
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,8413GY-1,CHAIR,Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,83.00,1,83.00,16.200
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,8413GY-2,LOVE SEAT,Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,143.00,1,143.00,25.800
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S107115,SRSTE,1855K-1EK,(1/2) EK PVC HB & FB,Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,80.88,1,80.88,7.760
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S107115,SRSTE,1855K-3EK,(2/2) EK RL & SL,Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,19.12,1,19.12,1.634
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,,UTSOL,SOLD NEW AND USED,S107115,SRSTE,5515GY,"DINING TBL, GREY FINISH TOP",Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,1,47.00,1,47.00,3.640
"HOMELEGANCE, INC",UTSOL,SOLD NEW AND USED,O/S Customer;,AMZ01;,UTSOL,SOLD NEW AND USED,S107115,SRSTE,5515GYS,"SIDE CHAIR, GREY FINISH",Closed,,HE200809,03/21/2019,Promotional Price,,UT,US United States,4,64.00,4,64.00,5.520
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,AMZ01;AMZ02;,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,9903GY-2,Double Reclining Love Seat With Center Console,Closed,,HE190555,01/31/2019,Promotional Price,,UT,US United States,2,678.00,2,678.00,93.266
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,1936-1,"(1/2)Queen Headboard & Footboard & Slats, Paper Veneer",Closed,,HE190555,01/31/2019,Promotional Price,,UT,US United States,1,85.88,1,85.88,7.511
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,1936-3,(2/2)Eastern King/Queen Rails,Closed,,HE190555,01/31/2019,Promotional Price,,UT,US United States,1,19.12,1,19.12,1.074
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,1936-4,Night Stand,Closed,,HE190555,01/31/2019,Promotional Price,,UT,US United States,1,55.00,1,55.00,6.222
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,1936-5,Dresser,Closed,,HE190555,01/31/2019,Promotional Price,,UT,US United States,1,124.00,1,124.00,22.584
