Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S88789,SRHAL2,9724BLK-2,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,Closed,,HE165520,09/04/2018,Promotional Price,,CA,US United States,1,319.13,1,319.13,35.810
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S88789,SRHAL2,9724BLK-3,DOUBLE RECLINING SOFA W/ CNTR DROP-DOWN CUP-HLDR,Closed,,HE165520,09/04/2018,Promotional Price,,CA,US United States,1,319.13,1,319.13,40.400
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-1,"(1/3) QN LINEN HDBD, WHT WASH",Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,281.18,1,281.18,19.302
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-2,(2/3) QN LINEN FTBD,Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,231.89,1,231.89,16.700
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-3,(3/3) QN RL & SL,Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,87.36,1,87.36,3.420
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-4,NIGHT STAND,Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,2,465.60,2,465.60,31.200
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-5,DRESSER,Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,561.63,1,561.63,41.300
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,2168WW-6,MIRROR,Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,132.89,1,132.89,6.851
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,1916-1,"(1/3) QN HB, GRY PU&LED&MIROR",Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,184.18,1,184.18,6.512
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S88789,SRHAL2,1916-2,"(2/3) QN FB, CROC EMBOS&MIROR",Closed,,HE165520,09/04/2018,Unit Price,,CA,US United States,1,76.69,1,76.69,3.118
