Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S23411,SRDAS,B2053TFW-1,(1/3)Twin/Full Upper/Lower Headboard & Footboard,Closed,,HE23864,01/22/2019,Promotion Price,,TX,US United States,1,96.00,1,96.00,8.360
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S23411,SRDAS,B2053TFW-2,"(2/3)Twin/Full Side Rails/Guard Rails/Ladder, Center Rails & Support Legs",Closed,,HE23864,01/22/2019,Promotion Price,,TX,US United States,1,78.00,1,78.00,3.960
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S23411,SRDAS,B2053TFW-SL,(3/3)Twin/Full Slats,Closed,,HE23864,01/22/2019,Promotion Price,,TX,US United States,1,25.00,1,25.00,2.090
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S23411,SRDAS,B2053W-T,Storage Boxes,Closed,,HE23864,01/22/2019,Promotion Price,,TX,US United States,1,39.00,1,39.00,2.450
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S23411,SRDAS,5592,5-Piece Pack Dinette Set,Closed,,HE23864,01/22/2019,Promotion Price,,TX,US United States,1,99.00,1,99.00,11.682
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24070,SRDAS,1916GY-15L,(1/3)Left Side Facing Vanity Unit with Jewelry Tray,Closed,,HE24624,02/15/2019,Promotion Price,,TX,US United States,1,120.00,1,120.00,9.517
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24070,SRDAS,1916GY-15M,(2/3)Vanity Mirror with Glass Top,Closed,,HE24624,02/15/2019,Promotion Price,,TX,US United States,1,159.00,1,159.00,5.520
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24070,SRDAS,1916GY-15R,(3/3)Right Side Facing Vanity Unit,Closed,,HE24624,02/15/2019,Promotion Price,,TX,US United States,1,120.00,1,120.00,9.517
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24070,SRDAS,1916GY-14,Vanity Stool,Closed,,HE24624,02/15/2019,Unit Price,,TX,US United States,1,38.00,1,38.00,1.490
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24070,SRDAS,9668BRW-3,Double Reclining Sofa,Closed,,HE24624,02/15/2019,Promotion Price,,TX,US United States,1,380.00,1,380.00,42.400
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24402,SRDAS,2147F-1,"(1/2)Full Headboard & Footboard, L.Phili,Brown Cherry",Closed,,HE25032,02/27/2019,Promotion Price,,TX,US United States,1,85.00,1,85.00,5.841
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24402,SRDAS,2147F-3,"(2/2)Full Rails & Slats, Brown Cherry",Closed,,HE25032,02/27/2019,Unit Price,,TX,US United States,1,23.00,1,23.00,1.042
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24993,SRDAS,2588-92,"(1/2)Dining Table Top, 18'' Leaf",Closed,,HE25557,03/14/2019,Unit Price,,TX,US United States,1,239.00,1,239.00,16.000
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24993,SRDAS,2588-92B,(2/2)Dual Pedestal Bases,Closed,,HE25557,03/14/2019,Unit Price,,TX,US United States,1,170.00,1,170.00,13.800
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S24993,SRDAS,2588S,Side Chair,Closed,,HE25557,03/14/2019,Unit Price,,TX,US United States,6,420.00,6,420.00,30.120
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25108,SRDAS,1638T-1,Twin Metal Platform Bed,Closed,,HE25660,03/18/2019,Promotion Price,,TX,US United States,1,75.00,1,75.00,3.750
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25108,SRDAS,5573,5-Piece  Pack Dinette Set,Closed,,HE25660,03/18/2019,Promotion Price,,TX,US United States,1,159.00,1,159.00,13.909
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25108,SRDAS,5664-48,Dining Table,Closed,,HE25660,03/18/2019,Promotion Price,,TX,US United States,1,49.00,1,49.00,4.180
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25108,SRDAS,5664S,Side Chair,Closed,,HE25660,03/18/2019,Promotion Price,,TX,US United States,4,80.00,4,80.00,5.840
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-1,(1/3)Queen Headboard,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,69.00,1,69.00,5.030
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-2,(2/3)Queen Footboard with 4 Slats & 4 Support Legs,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,45.00,1,45.00,4.330
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-3,(3/3)Queen/Eastern King Side Rails,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,35.00,1,35.00,1.840
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-4,Night Stand,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,70.00,1,70.00,7.750
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-5,Dresser,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,195.00,1,195.00,27.150
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,1648-6,Mirror,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,35.00,1,35.00,3.390
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,3608SV-01,Round Cocktail Table With Faux Marble Top,Closed,,HE26117,03/29/2019,Unit Price,,TX,US United States,1,129.00,1,129.00,15.909
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,5627W-72,DINING TABLE W/6 DRWS,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,185.00,1,185.00,15.306
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,5627WS,SIDE CHAIR,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,4,164.00,4,164.00,14.032
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S25346,SRDAS,5627W-13,BENCH,Closed,,HE26117,03/29/2019,Promotion Price,,TX,US United States,1,50.00,1,50.00,3.244
"HOMELEGANCE TX, INC.",ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,Customer-Local;,,ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,S23247,SRDAS,8230BLK-2L,(2/3)Left Side Reclining Love Seat,Closed,,HE23789,01/18/2019,Unit Price,,TX,US United States,1,308.00,1,308.00,28.730
"HOMELEGANCE TX, INC.",ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,Customer-Local;,,ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,S23247,SRDAS,8230BLK-2RCN,(1/3)Right Side Double Reclining Love Seat With Center Console,Closed,,HE23789,01/18/2019,Unit Price,,TX,US United States,1,370.00,1,370.00,34.560
"HOMELEGANCE TX, INC.",ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,Customer-Local;,,ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,S23247,SRDAS,8230BLK-CR,(3/3)Corner Seat,Closed,,HE23789,01/18/2019,Unit Price,,TX,US United States,1,221.00,1,221.00,29.190
"HOMELEGANCE TX, INC.",ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,Customer-Local;,,ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,S25460,SRDAS,8200BRW-2PW,Power Double Reclining Love Seat With Center Console,Closed,,HE26064,03/28/2019,Unit Price,,TX,US United States,1,689.00,1,689.00,43.750
"HOMELEGANCE TX, INC.",ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,Customer-Local;,,ACEBE,ACE BOON'S ENTERPRISE DBA TEXAS WHOLESALE FURNITURE,S25460,SRDAS,8200BRW-3PW,Power Double Reclining Sofa,Closed,,HE26064,03/28/2019,Unit Price,,TX,US United States,1,729.00,1,729.00,50.110
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22888,SRDAS,5438K-1,"(1/3)Eastern King/California King Headboard, Distressing Dark Oak",Closed,,HE25425,03/11/2019,Unit Price,,TX,US United States,1,176.00,1,176.00,11.668
